Name,Director,Production,Rated,Runtime,Year,imdbVotes,Actor1,Actor2,Actor3,Actor4,Genre1,Genre2,Genre3
Toy Story,John Lasseter,Buena Vista,G,Less than 2 hours,1995,"671,735",Tom Hanks, Tim Allen, Don Rickles, Jim Varney,Animation, Adventure, Comedy
Jumanji,Joe Johnston,Sony Pictures Home Entertainment,PG,Less than 2 hours,1995,"223,000",Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce,Action, Adventure, Family
Grumpier Old Men,Howard Deutch,Warner Home Video,PG-13,Less than 2 hours,1995,"20,239",Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret,Comedy, Romance,
Waiting to Exhale,Forest Whitaker,Twentieth Century Fox Home Entertainment,R,More than 2 hours,1995,"7,803",Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon,Comedy, Drama, Romance
Father of the Bride Part II,Charles Shyer,Disney,PG,Less than 2 hours,1995,"27,994",Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley,Comedy, Family, Romance
Heat,Michael Mann,Warner Bros.,R,More than 2 hours,1995,"455,878",Al Pacino, Robert De Niro, Val Kilmer, Jon Voight,Action, Crime, Drama
Sabrina,Billy Wilder,Paramount Home Video,UNRATED,Less than 2 hours,1954,"46,961",Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden,Comedy, Drama, Romance
Sabrina,Billy Wilder,Paramount Home Video,UNRATED,Less than 2 hours,1954,"46,961",Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden,Fantasy, Horror,
Sabrina,Billy Wilder,Paramount Home Video,UNRATED,Less than 2 hours,1954,"46,961",Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden,Comedy, Drama, Romance
Sabrina,Billy Wilder,Paramount Home Video,UNRATED,Less than 2 hours,1954,"46,961",Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden,Fantasy, Horror,
Sabrina,Billy Wilder,Paramount Home Video,UNRATED,Less than 2 hours,1954,"46,961",Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden,Comedy, Drama, Romance
Sabrina,Billy Wilder,Paramount Home Video,UNRATED,Less than 2 hours,1954,"46,961",Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden,Fantasy, Horror,
Sabrina,Billy Wilder,Paramount Home Video,UNRATED,Less than 2 hours,1954,"46,961",Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden,Comedy, Drama, Romance
Sabrina,Billy Wilder,Paramount Home Video,UNRATED,Less than 2 hours,1954,"46,961",Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden,Fantasy, Horror,
Tom and Huck,Peter Hewitt,Buena Vista,PG,Less than 2 hours,1995,"7,884",Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket,Comedy, Drama, Romance
Sudden Death,Peter Hyams,MCA Universal Home Video,R,Less than 2 hours,1995,"26,855",Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright,Comedy, Drama, Romance
GoldenEye,Martin Campbell,MGM/UA,PG-13,More than 2 hours,1995,"205,695",Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen,Comedy, Drama, Romance
Dracula: Dead and Loving It,Mel Brooks,WARNER BROTHERS PICTURES,PG-13,Less than 2 hours,1995,"31,919",Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck,Adventure, Comedy, Drama
Balto,Simon Wells,MCA Universal Home Video,G,Less than 2 hours,1995,"32,168",Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings,Action, Crime, Thriller
Nixon,Oliver Stone,Buena Vista Pictures,R,More than 2 hours,1995,"25,011",Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris,Action, Adventure, Thriller
Cutthroat Island,Renny Harlin,Live Home Video,PG-13,More than 2 hours,1995,"22,087",Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin,Comedy, Fantasy, Horror
Casino,Martin Scorsese,Universal Pictures,R,More than 2 hours,1995,"356,465",Robert De Niro, Sharon Stone, Joe Pesci, James Woods,Animation, Adventure, Drama
Sense and Sensibility,Ang Lee,Columbia Pictures,PG,More than 2 hours,1995,"82,075",James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet,Biography, Drama, History
Four Rooms,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",Miramax Films,R,Less than 2 hours,1995,"81,833",Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna,Action, Adventure, Comedy
Ace Ventura: When Nature Calls,Steve Oedekerk,Warner Home Video,PG-13,Less than 2 hours,1995,"168,566",Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi,Crime, Drama,
Money Train,Joseph Ruben,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"33,446",Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake,Drama, Romance,
Get Shorty,Barry Sonnenfeld,MGM,R,Less than 2 hours,1995,"65,016",John Travolta, Gene Hackman, Rene Russo, Danny DeVito,Comedy,,
Copycat,Jon Amiel,Warner Home Video,R,More than 2 hours,1995,"44,011",Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara,Adventure, Comedy, Crime
Assassins,Richard Donner,Warner Home Video,R,More than 2 hours,1995,"66,010",Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov,Action, Comedy, Crime
Powder,Victor Salva,Hollywood Pictures,PG-13,Less than 2 hours,1995,"25,056",Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum,Comedy, Crime, Thriller
Leaving Las Vegas,Mike Figgis,United Artists,R,Less than 2 hours,1995,"97,639",Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis,Crime, Drama, Mystery
Othello,Oliver Parker,Sony Pictures Home Entertainment,R,More than 2 hours,1995,"7,826",Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker,Action, Crime, Thriller
Othello,Oliver Parker,Sony Pictures Home Entertainment,R,More than 2 hours,1995,"7,826",Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker,Comedy, Drama, Fantasy
Othello,Oliver Parker,Sony Pictures Home Entertainment,R,More than 2 hours,1995,"7,826",Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker,Action, Crime, Thriller
Othello,Oliver Parker,Sony Pictures Home Entertainment,R,More than 2 hours,1995,"7,826",Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker,Comedy, Drama, Fantasy
Othello,Oliver Parker,Sony Pictures Home Entertainment,R,More than 2 hours,1995,"7,826",Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker,Action, Crime, Thriller
Othello,Oliver Parker,Sony Pictures Home Entertainment,R,More than 2 hours,1995,"7,826",Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker,Comedy, Drama, Fantasy
Othello,Oliver Parker,Sony Pictures Home Entertainment,R,More than 2 hours,1995,"7,826",Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker,Action, Crime, Thriller
Othello,Oliver Parker,Sony Pictures Home Entertainment,R,More than 2 hours,1995,"7,826",Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker,Comedy, Drama, Fantasy
